Strains,states
K_001,3
K_002,4
K_003,4
K_004,4
K_005,4
K_006,3
K_007,4
K_008,3
K_009,3
K_010,3
K_011,3
K_012,3
K_013,3
K_014,4
K_015,3
K_016,4
K_017,3
K_018,3
K_019,3
K_020,4
K_021,3
K_022,4
K_023,3
K_024,3
K_025,3
K_026,3
K_027,3
K_028,4
K_029,3
K_030,4
K_031,3
K_032,4
K_033,4
K_034,4
K_035,4
K_036,3
K_037,4
K_038,3
K_039,3
K_040,3
K_041,3
K_042,3
K_043,3
K_044,4
K_046,4
K_048,4
K_049,3
K_051,3
K_052,3
K_053,4
K_055,3
K_057,4
K_059,3
K_060,3
K_061,3
K_062,3
K_063,3
K_064,4
K_065,3
K_066,4
K_067,3
K_071,4
K_072,3
K_073,3
K_074,3
K_075,3
K_076,3
K_077,3
K_078,3
K_079,3
K_080,3
K_081,3
K_082,3
K_083,3
K_084,3
K_085,3
K_086,3
K_087,3
K_089,3
K_090,3
K_091,3
K_093,4
K_094,3
K_095,3
K_096,4
K_097,4
K_098,4
K_099,3
K_100,4
K_102,4
K_103,4
K_104,3
K_106,4
K_108,4
K_110,3
K_111,3
K_112,3
K_113,3
K_114,3
K_115,3
K_116,3
K_117,3
K_118,4
K_120,4
K_121,4
K_122,4
K_123,4
K_124,3
K_126,3
K_127,3
K_128,4
K_129,3
K_132,4
K_133,4
K_134,3
K_135,4
K_137,3
K_138,4
K_140,4
K_141,3
K_142,3
K_160,4
K_162,4
U_001,1
U_002,1
U_003,1
U_004,1
U_005,1
U_006,1
U_007,2
U_008,1
U_009,1
U_010,1
U_011,1
U_012,2
U_013,2
U_014,1
U_015,2
U_016,2
U_017,1
U_018,2
U_019,1
U_020,2
U_021,2
U_022,2
U_023,1
U_024,1
U_025,2
U_026,2
U_027,2
U_028,1
U_029,1
U_030,1
U_031,2
U_032,1
U_033,1
U_034,1
U_035,1
U_036,2
U_037,1
U_038,1
U_039,2
U_040,2
U_041,1
U_042,2
U_043,2
U_044,2
U_045,1
U_046,2
U_047,1
U_048,2
U_049,2
U_050,2
U_051,2
U_052,2
U_053,2
U_054,1
U_055,1
U_057,2
U_058,1
U_059,1
U_060,2
U_061,2
U_062,1
U_063,1
U_064,1
U_066,1
U_067,1
U_068,1
U_069,2
U_070,1
U_071,2
U_072,2
U_073,1
U_074,1
U_075,2
U_076,1
U_077,2
U_079,1
U_080,1
U_081,2
U_082,1
U_083,2
U_084,2
U_085,1
U_086,2
U_087,2
U_088,1
U_089,1
U_090,1
U_091,1
U_092,1
U_093,2
U_094,2
U_095,2
U_096,1
U_097,2
U_098,1
U_099,1
U_100,2
U_101,2
U_102,2
U_103,2
U_104,2
U_105,1
U_106,1
U_107,1
U_108,2
U_109,1
U_110,1
U_111,2
U_112,1
U_113,1
U_114,2
U_115,1
U_116,2
U_117,2
U_118,2
U_119,2
U_120,2
U_121,2
U_124,2
U_125,1
U_126,1
U_127,2
U_128,2
U_130,1
U_131,2
U_134,1
U_135,1
U_136,2
